datetime,tempmax,tempmin,temp,precip,snow
1990-01-01,8,0.6,4.4,12.03,
1990-01-02,5.5,-1.2,1.8,0,
1990-01-03,9.6,0.2,3.9,0,
1990-01-04,9.6,1.8,5.2,0.103,
1990-01-05,8.9,2.9,5.9,0,
1990-01-06,7.1,1.1,3,0,
1990-01-07,6,-2.9,2.1,0,
1990-01-08,4.2,0.5,1.9,19.628,
1990-01-09,7.5,0.6,3.6,0.344,
1990-01-10,7.5,4.5,5.6,0.697,
1990-01-11,6.5,3.6,4.8,0,
1990-01-12,5.2,0.1,2.9,0,
1990-01-13,0.3,-4,-2,0,
1990-01-14,1.9,-3.8,-0.9,0,
1990-01-15,4.6,1.1,2.9,2.18,
1990-01-16,12.5,1.5,7.1,0,
1990-01-17,14.7,4.4,9.6,0,
1990-01-18,17.6,7.6,13.6,0.103,
1990-01-19,6.8,0.2,3.4,0,
1990-01-20,1.8,-1.5,0.7,8.789,
1990-01-21,2.7,0.5,1.7,4.049,
1990-01-22,7.2,0.2,3.8,1.19,
1990-01-23,7,2.4,4.7,0.027,
1990-01-24,12.9,5.1,9,0,
1990-01-25,10.9,6.7,8.8,18.19,
1990-01-26,12.4,2.8,6.3,4.703,
1990-01-27,7,0.1,3.4,0,
1990-01-28,12.7,1.7,6.1,0,
1990-01-29,5.8,2.2,4.2,13.087,
1990-01-30,6.4,2.7,4.5,9.58,
1990-01-31,9.9,-0.3,4.3,0,
1990-02-01,10.7,0.6,6.6,0,
1990-02-02,11.2,4.6,9,0.848,
1990-02-03,3.7,-0.7,1.1,1.071,
1990-02-04,4.2,0.7,2.6,5.04,
1990-02-05,1.8,-4.6,-0.9,0,
1990-02-06,12.2,-0.4,5.2,0,
1990-02-07,11,3.6,7,0,
1990-02-08,12.3,1.9,7.2,0,
1990-02-09,15.6,5,10.3,0,
1990-02-10,14.3,2.3,8.8,9.226,
1990-02-11,8.3,0.6,4.4,0,
1990-02-12,6.7,0.7,3.5,0.12,
1990-02-13,10,-1.3,5.1,0,
1990-02-14,14.1,6.1,10.1,0.085,
1990-02-15,5,1.6,3,1.406,
1990-02-16,8.4,2.6,5,1.054,
1990-02-17,14.4,-3.9,5.3,0,
